##########normalizacion_palabras##########
acra                                    acra                                    AQ0FS0   I  # acra
acral                                   acral                                   AQ0CS0   I  # acral
acrales                                 acral                                   AQ0CP0   I  # acrales
acras                                   acra                                    AQ0FP0   I  # acras
acrocianosis                            acrocianosis                            NCFS000  I  # acrocianosis
acromica                                acrómico                                AQ0FS0   I  # acromica
acrómica                                acrómico                                AQ0FS0   I  # acrómica
acromicas                               acrómico                                AQ0FP0   I  # acromicas
acrómicas                               acrómico                                AQ0FP0   I  # acrómicas
acromico                                acrómico                                AQ0MS0   I  # acromico
acrómico                                acrómico                                AQ0MS0   I  # acrómico
acromicos                               acrómico                                AQ0MP0   I  # acromicos
acrómicos                               acrómico                                AQ0MP0   I  # acrómicos
acropaquia                              acropaquia                              NCFP000  I  # acropaquia
acropaquias                             acropaquia                              NCFP000  I  # acropaquias
actinomices                             actinomices                             NC00000  I  # actinomices
actinomicina-d                          actinomicina-d                          NCFS000  I  # actinomicina-d
actocortina                             actocortina                             NCFS000  I  # actocortina
actual-mente                            actual-mente                            RG       I  # actual-mente
acumulo                                 acúmulo                                 NCMS000  I  # acumulo
acúmulo                                 acúmulo                                 NCMS000  I  # acúmulo
acumulos                                acúmulo                                 NCMP000  I  # acumulos
acúmulos                                acúmulo                                 NCMP000  I  # acúmulos
acupuntural                             acupuntural                             AQ0CS0   I  # acupuntural
acupunturales                           acupuntural                             AQ0CP0   I  # acupunturales
ad                                      ad                                      SPS00    I  # ad
adalimumab                              adalimumab                              NCCS000  I  # adalimumab
adduccion                               adducción                               NCFS000  I  # adduccion
adducción                               adducción                               NCFS000  I  # adducción
adducciones                             adducción                               NCFP000  I  # adducciones
adefovir                                adefovir                                NCCS000  I  # adefovir
adelante-atrás                          adelante-atrás                          RG       I  # adelante-atrás
adelfo                                  adelfo                                  AQ0MS0   I  # adelfo
adelfos                                 adelfo                                  AQ0MP0   I  # adelfos
adenectomia                             adenectomía                             NCFS000  I  # adenectomía
adenectomía                             adenectomía                             NCFS000  I  # adenectomía
adenectomias                            adenectomía                             NCFP000  I  # adenectomías
adenectomías                            adenectomía                             NCFP000  I  # adenectomías
adeno-carcinoma                         adeno-carcinoma                         NCMS000  I  # adeno-carcinoma
adenocarcinoma                          adenocarcinoma                          NCMS000  I  # adenocarcinoma
adeno-carcinomas                        adeno-carcinoma                         NCMP000  I  # adeno-carcinomas
adenocarcinomas                         adenocarcinoma                          NCMP000  I  # adenocarcinomas
adenoidectomizada                       adenoidectomizar                        VMP00SF  I  # adenoidectomizada
adenoidectomizadas                      adenoidectomizar                        VMP00PF  I  # adenoidectomizadas
adenoidectomizado                       adenoidectomizar                        VMP00SM  I  # adenoidectomizado
adenoidectomizados                      adenoidectomizar                        VMP00PM  I  # adenoidectomizados
adenomatoide                            adenomatoide                            AQ0CS0   I  # adenomatoide
adenomatoides                           adenomatoides                           AQ0CP0   I  # adenomatoides
adenomatosa                             adenomatoso                             AQ0FS0   I  # adenomatosa
adenomatosas                            adenomatoso                             AQ0FP0   I  # adenomatosas
adenomatoso                             adenomatoso                             AQ0MS0   I  # adenomatoso
adenomatosos                            adenomatoso                             AQ0MP0   I  # adenomatosos
adenomectomia                           adenomectomía                           NCFS000  I  # adenomectomia
adenomectomía                           adenomectomía                           NCFS000  I  # adenomectomía
adenomegalia                            adenomegalia                            NCFS000  I  # adenomegalia
adenomegalias                           adenomegalias                           NCFP000  I  # adenomegalias
adenomegalica                           adenomegálico                           AQ0FS0   I  # adenomegalica
adenomegálica                           adenomegálico                           AQ0FS0   I  # adenomegálica
adenomegalicas                          adenomegálico                           AQ0FP0   I  # adenomegalicas
adenomegálicas                          adenomegálico                           AQ0FP0   I  # adenomegálicas
adenomegalico                           adenomegálico                           AQ0MS0   I  # adenomegalico
adenomegálico                           adenomegálico                           AQ0MS0   I  # adenomegálico
adenomegalicos                          adenomegálico                           AQ0MS0   I  # adenomegalicos
adenomegálicos                          adenomegálico                           AQ0MS0   I  # adenomegálicos
adenomioma                              adenomioma                              NCMS000  I  # adenomioma
adenomiomas                             adenomioma                              NCMP000  I  # adenomiomas
adenopatia                              adenopatía                              NCFS000  I  # adenopatia
adenopatía                              adenopatía                              NCFS000  I  # adenopatía
adenopatías                             adenopatía                              NCFP000  I  # adenopaias
adenopatias                             adenopatía                              NCFP000  I  # adenopatias
adenopatica                             adenopático                             AQ0FS0   I  # adenopatica
adenopática                             adenopático                             AQ0FS0   I  # adenopática
adenopaticas                            adenopático                             AQ0FP0   I  # adenopaticas
adenopáticas                            adenopático                             AQ0FP0   I  # adenopáticas
adenopatico                             adenopático                             AQ0MS0   I  # adenopatico
adenopático                             adenopático                             AQ0MS0   I  # adenopático
adenopaticos                            adenopático                             AQ0MP0   I  # adenopaticos
adenopáticos                            adenopático                             AQ0MP0   I  # adenopáticos
adenovirica                             adenovírico                             AQ0FS0   I  # adenovirica
adenovírica                             adenovírico                             AQ0FS0   I  # adenovírica
